generation,best_fitness,best_score,best_steps,average_fitness
641,431921,400,31921,333161.42
642,426248,395,31248,336162.47
643,430766,399,31766,320811.8
644,428429,397,31429,345771.62
645,428863,400,28863,332537.83
646,428146,397,31146,311588.08
647,427202,393,34202,340224.6
648,431270,400,31270,365270.65
649,427362,400,27362,341819.97
650,426172,395,31172,347576.62
651,430210,398,32210,340511.42
652,426958,395,31958,338064.78
653,423875,390,33875,327949.72
654,430086,399,31086,350553.15
655,423732,395,28732,304532.7
656,429469,397,32469,306692.28
657,428999,400,28999,327580.88
658,426512,395,31512,345840.58
659,427869,395,32869,332488.25
660,426981,397,29981,330298.03
661,430083,400,30083,343544.85
662,434078,400,34078,328075.47
663,429768,398,31768,339955.75
664,427584,397,30584,349577.47
665,428256,399,29256,336853.42
666,427511,395,32511,323972.0
667,430790,400,30790,343447.1
668,430524,399,31524,357935.75
669,428643,397,31643,352414.62
670,429705,399,30705,346092.67
671,432307,399,33307,356344.2
672,430457,397,33457,332550.62
673,428698,395,33698,309312.85
674,428283,399,29283,359584.15
675,429592,399,30592,335000.2
676,431143,399,32143,360136.33
677,427179,399,28179,317549.38
678,431692,399,32692,330563.5
679,427328,399,28328,333440.83
680,433125,400,33125,335268.65
681,430113,397,33113,338681.95
682,429974,400,29974,354875.5
683,429600,400,29600,344198.17
684,427642,399,28642,339942.38
685,431658,400,31658,369906.78
686,427638,397,30638,350438.65
687,426747,397,29747,339477.55
688,431845,399,32845,335257.47
689,431293,400,31293,325607.38
690,431465,397,34465,344208.1
691,431640,399,32640,369722.5
692,426717,397,29717,358792.62
693,425370,395,30370,355573.5
694,429305,399,30305,364883.65
695,428784,397,31784,330940.12
696,425839,395,30839,360886.53
697,426433,397,29433,325595.38
698,429975,400,29975,361905.08
699,432976,399,33976,351287.08
700,429234,397,32234,362717.85
701,429389,399,30389,329242.65
702,431342,399,32342,318504.38
703,423938,393,30938,315775.5
704,432231,400,32231,309916.42
705,425745,395,30745,331509.45
706,429606,399,30606,341014.58
707,432682,399,33682,329009.62
708,430700,400,30700,343147.47
709,430385,397,33385,351352.85
710,428414,400,28414,314424.3
711,427000,397,30000,323248.15
712,429877,399,30877,348917.22
713,429488,400,29488,336697.8
714,425432,395,30432,334332.95
715,432676,399,33676,325892.72
716,426754,400,26754,321227.58
717,425511,395,30511,343193.75
718,428555,395,33555,338967.72
719,427247,397,30247,342804.62
720,428843,399,29843,353261.67
721,423844,395,28844,337420.47
722,430615,399,31615,343030.33
723,419214,391,28214,346206.17
724,426517,397,29517,358444.72
725,425492,397,28492,329150.58
726,422261,396,26261,337856.67
727,430630,399,31630,357664.55
728,428584,397,31584,354299.97
729,426459,395,31459,343702.67
730,431615,399,32615,342570.62
731,431416,400,31416,343869.42
732,429659,397,32659,327287.97
733,430668,397,33668,358240.83
734,428323,397,31323,340763.2
735,432855,400,32855,350486.35
736,431210,399,32210,338265.88
737,430176,399,31176,333071.03
738,422734,393,29734,311328.83
739,430561,400,30561,322103.03
740,429082,397,32082,334178.55
741,429510,397,32510,361030.92
742,427097,395,32097,330121.88
743,431136,400,31136,336170.75
744,428369,399,29369,327166.85
745,432044,399,33044,326865.72
746,429121,400,29121,377691.33
747,421749,393,28749,336231.0
748,432245,399,33245,347996.6
749,422310,393,29310,320967.4
750,426229,395,31229,328000.0
751,428503,397,31503,311817.92
752,429024,399,30024,369307.08
753,425562,397,28562,348464.92
754,426660,397,29660,357015.08
755,428834,400,28834,329061.67
756,430458,399,31458,331238.08
757,429477,395,34477,348916.92
758,429209,397,32209,324541.75
759,428972,397,31972,344313.72
760,427307,395,32307,306159.42
761,428653,397,31653,334160.42
762,421043,387,34043,320235.1
763,424695,393,31695,325398.45
764,430377,400,30377,343869.6
765,430247,397,33247,345093.47
766,431421,397,34421,342092.2
767,430796,400,30796,334632.92
768,429545,399,30545,350906.85
769,422208,393,29208,329949.3
770,419946,391,28946,295870.42
771,430605,399,31605,336491.88
772,431744,399,32744,352082.97
773,428168,397,31168,358700.05
774,429280,397,32280,378557.38
775,424028,391,33028,302551.4
776,431065,397,34065,330917.03
777,427963,396,31963,317081.7
778,423747,395,28747,340460.83
779,430708,397,33708,330466.78
780,427169,397,30169,326438.22
781,420594,391,29594,353409.65
782,429881,397,32881,356045.17
783,430683,397,33683,355958.12
784,430091,395,35091,349262.12
785,428643,397,31643,332720.22
786,428597,398,30597,333556.67
787,430464,399,31464,323696.9
788,425676,395,30676,323824.6
789,429980,400,29980,353815.25
790,425044,395,30044,354702.67
791,427662,397,30662,315433.05
